State,Regular,Mid-Grade,Premium,Diesel,Date
West Virginia,$2.944,$3.354,$3.805,$3.584,2024-11-23
West Virginia,$2.940,$3.350,$3.802,$3.579,2024-11-24
West Virginia,$2.935,$3.332,$3.785,$3.579,2024-11-25
West Virginia,$2.944,$3.366,$3.806,$3.584,2024-11-26
West Virginia,$2.959,$3.370,$3.818,$3.586,2024-11-27
Wisconsin,$2.859,$3.350,$3.846,$3.370,2024-11-16
Wisconsin,$2.849,$3.352,$3.836,$3.370,2024-11-17
Wisconsin,$2.838,$3.348,$3.831,$3.364,2024-11-18
Wisconsin,$2.824,$3.326,$3.818,$3.362,2024-11-19
Wisconsin,$2.818,$3.319,$3.817,$3.358,2024-11-20
Wisconsin,$2.823,$3.320,$3.817,$3.358,2024-11-21
Wisconsin,$2.853,$3.341,$3.832,$3.362,2024-11-22
Wisconsin,$2.869,$3.368,$3.850,$3.367,2024-11-23
Wisconsin,$2.862,$3.366,$3.856,$3.368,2024-11-24
Wisconsin,$2.857,$3.374,$3.854,$3.370,2024-11-25
Wisconsin,$2.840,$3.363,$3.838,$3.361,2024-11-26
Wisconsin,$2.827,$3.343,$3.825,$3.361,2024-11-27
Wyoming,$3.074,$3.348,$3.627,$3.488,2024-11-16
Wyoming,$3.057,$3.344,$3.614,$3.475,2024-11-17
Wyoming,$3.042,$3.328,$3.613,$3.474,2024-11-18
Wyoming,$3.060,$3.334,$3.620,$3.468,2024-11-19
Wyoming,$3.053,$3.335,$3.631,$3.460,2024-11-20
Wyoming,$3.041,$3.322,$3.619,$3.458,2024-11-21
Wyoming,$3.022,$3.329,$3.614,$3.466,2024-11-22
Wyoming,$3.035,$3.315,$3.603,$3.457,2024-11-23
Wyoming,$3.026,$3.294,$3.601,$3.449,2024-11-24
Wyoming,$3.001,$3.274,$3.563,$3.430,2024-11-25
Wyoming,$3.021,$3.275,$3.576,$3.429,2024-11-26
Wyoming,$3.020,$3.285,$3.602,$3.448,2024-11-27
